ts	phase	decision	why	evidence	result
2026-08-27T15:21:24.1314117-05:00	frame	Defined completion as a passing doctor report against the live Windows installation with stable paths, exact hashes, valid IPC, consistent workspace bindings, a pinned schema, and fork-owned pushes	A build or edited config does not prove which files Windows actually starts or displays	https://github.com/themixednuts/komorebi/issues/34	open
2026-08-27T15:35:00.0000000-05:00	workflow	Isolated the baseline task on its own branch and worktree	The unfinished AppBar source changes in the main checkout must remain untouched	E:\Projects\komorebi-task-active-baseline	clean task worktree created
2026-08-27T15:24:09.4861734-05:00	audit	Superseded the preceding worktree row timestamp	The manually entered 15:35 timestamp was later than the system clock; the action itself and its result remain correct	git worktree list	preceding timestamp invalid, this row records the correction
2026-08-27T15:27:50.5147231-05:00	baseline	Captured the pre-change installation with the read-only doctor	A fixed red baseline is required before any Windows-side repair	docs/wayfinder/tasks/active-installation-baseline/results/doctor-pre.json	23 checks, 13 failed as expected
2026-08-27T15:28:19.0116714-05:00	assets	Copied the AppBar into a hash-named installation and copied 22 wallpapers into the user's Pictures library	Active content must outlive source and agent worktrees	baseline.spec.json	AppBar hash and wallpaper manifest hash match exactly
2026-08-27T15:28:50.0468963-05:00	theme	Moved both the installed theme references and the live Windows slideshow to the durable wallpaper folder	Editing the theme file alone would leave the active shell-item list pointed at the source workspace	docs/wayfinder/tasks/active-installation-baseline/results/doctor-assets.json	All wallpaper, theme, and live slideshow checks passed; six unrelated checks remain red
2026-08-27T15:29:44.9122266-05:00	appbar	Pointed the scheduled task at the immutable AppBar and restarted it with automatic action rollback on failure	The running process, not the copied file, defines the active installation	docs/wayfinder/tasks/active-installation-baseline/results/doctor-appbar.json	Task, process, hash, and visual AppBar checks passed; four unrelated checks remain red
2026-08-27T15:30:09.8815368-05:00	configuration	Pinned applications.json to v0.1.41 and removed the two bindings to nonexistent workspace index 7	The seven-workspace profile is established; adding an eighth would invent product behavior to preserve two broken shortcuts	docs/wayfinder/tasks/active-installation-baseline/results/doctor-config.json	Schema, binding, config check, and fork push checks passed; IPC and stale markers remain red
2026-08-27T15:45:47.6477644-05:00	ipc	Kept AppData\Local\komorebi as a junction to C:\Users\jonfo\.local\share\komorebi\runtime	Fresh uds_windows listeners returned 10022 in direct AppData\Local children but passed under the profile and through the junction	docs/wayfinder/tasks/active-installation-baseline/uds-probe	Manager state queries pass through the fixed komorebi data path
2026-08-27T15:45:47.6477644-05:00	startup	Replaced both logon tasks with per-user Startup shortcuts and kept the tasks disabled	The scheduled-task context returned Winsock 10050 for both a fresh AF_UNIX listener and the manager socket; the interactive shell context passed both operations	docs/wayfinder/tasks/active-installation-baseline/results/scheduled-context-probe.txt; docs/wayfinder/tasks/active-installation-baseline/results/interactive-context-probe.txt	A cold shortcut restart produced one manager socket and one AppBar subscriber socket without a console
2026-08-27T15:45:47.6477644-05:00	verification	Required exactly one live AppBar subscriber and checked the rendered workspace widgets	A process and executable hash can pass while the bar's state-dependent widgets are absent	docs/wayfinder/tasks/active-installation-baseline/results/doctor-final.json	27 of 27 checks pass; Computer Use shows workspaces I through VII, BSP, focused app, clock, and date
2026-08-27T15:46:53.8077296-05:00	verification	Expanded the final gate to inspect both launchers' PE subsystem	The no-console requirement is part of the active installation and needs a machine-readable check	docs/wayfinder/tasks/active-installation-baseline/results/doctor-final.json	Supersedes the preceding check count: both final runs pass 29 of 29 checks and both launchers report Windows GUI subsystem 2
